Movie,Release Date,Distributor,Genre,MPAA,Tickets Sold
"1,000 Rupee Note",9/23/2016,Kino Lorber,Drama,Not Rated,277
10 Cloverfield Lane,3/11/2016,Paramount Pictures,Thriller/Suspense,PG-13,"8,333,294"
13 Hours: The Secret Soldiers of Benghazi,1/15/2016,Paramount Pictures,Drama,R,"6,110,198"
2016 Oscar Shorts,1/29/2016,ShortsHD,Multiple Genres,Not Rated,"325,643"
20th Century Women,12/25/2016,A24,Drama,R,"20,644"
3 Weeks in Yerevan,9/16/2016,Richmond Media Entertainment,Comedy,Not Rated,"3,380"
A Aa,6/1/2016,Bluesky Cinemas,Romantic Comedy,Not Rated,"267,403"
A Beautiful Now,9/2/2016,Monterey Media,Drama,R,198
A Beautiful Planet,4/29/2016,Walt Disney,Documentary,G,"912,798"
A Bigger Splash,5/4/2016,Fox Searchlight,Drama,R,"233,999"
A Bit of Bad Luck,5/13/2016,Indican Pictures,Comedy,Not Rated,"2,091"
A Hologram for the King,4/22/2016,Roadside Attractions,Drama,R,"486,993"
A Kind of Murder,12/16/2016,Magnolia Pictures,Thriller/Suspense,R,336
A Man Called Ove,9/30/2016,Music Box Films,Comedy,PG-13,"385,665"
A Melody to Remember,1/29/2016,CJ Entertainment,Drama,Not Rated,"4,837"
A Monster with a Thousand Heads,5/13/2016,Music Box Films,Thriller/Suspense,Not Rated,"2,873"
A Perfect Day,1/15/2016,IFC Films,Drama,R,578
A Small Good Thing,8/19/2016,Kino Lorber,Documentary,Not Rated,138
A Space Program,3/18/2016,Zeitgeist,Documentary,Not Rated,"1,588"
A Street Cat Named Bob,11/18/2016,Cleopatra Films,Drama,Not Rated,"9,561"
A Tale of Love and Darkness,8/19/2016,Focus World,Drama,PG-13,"66,151"
A War,2/12/2016,Magnolia Pictures,Drama,R,"14,208"
Absolutely Fabulous: The Movie,7/22/2016,Fox Searchlight,Comedy,R,"551,694"
Ae Dil Hai Mushkil,10/28/2016,FIP,Drama,Not Rated,"493,061"
Aferim!,1/22/2016,Big World Pictures,Black Comedy,Not Rated,"12,498"
Against the Wild: Survive the Serengeti,2/26/2016,Anchor Bay Entertainment,Adventure,PG,"12,480"
Alice Through the Looking Glass,5/27/2016,Walt Disney,Adventure,PG,"8,906,633"
Allied,11/23/2016,Paramount Pictures,Drama,R,"4,577,912"
Almost Christmas,11/11/2016,Universal,Drama,PG-13,"4,855,815"
Almost Holy,5/20/2016,The Orchard,Documentary,R,"2,444"
Always Shine,11/25/2016,Oscilloscope Pictures,Thriller/Suspense,Not Rated,"1,865"
American Honey,9/30/2016,A24,Drama,R,"76,675"
American Pastoral,10/21/2016,Lionsgate,Drama,R,"62,901"
Among the Believers,9/30/2016,First Run Features,Documentary,Not Rated,484
An Eye for Beauty,4/15/2016,Monument Releasing,Drama,Not Rated,"1,086"
Anesthesia,1/8/2016,IFC Films,Drama,R,"3,098"
Angry Indian Goddess,8/5/2016,Mongrel Media,Comedy,Not Rated,"2,681"
Anonymous,12/2/2016,Archstone Entertainment,Drama,R,"1,299"
Anthropoid,8/12/2016,Bleecker Street,Thriller/Suspense,R,"342,616"
Approaching the Unknown,6/3/2016,Vertical Entertainment,Drama,R,"1,182"
April and the Extraordinary World,3/25/2016,GKIDS,Adventure,PG,"34,160"
Aquarius,10/14/2016,Vitagraph Films,Drama,Not Rated,"33,055"
Argentina,6/17/2016,First Run Features,Documentary,Not Rated,"1,718"
Arrival,11/11/2016,Paramount Pictures,Drama,PG-13,"10,657,998"
Art Bastard,6/3/2016,CAVU Releasing,Documentary,Not Rated,"2,265"
As I Open My Eyes,9/9/2016,Kino Lorber,Drama,Not Rated,"3,582"
Assassin’s Creed,12/21/2016,20th Century Fox,Action,PG-13,"4,209,846"
